,,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",total
ZCTA5 85032,Estimate,1413,1539,1597,2027,1227,1452,1571,1507,1678,2426,2832,2880,1909,1306,739,587,26690
ZCTA5 85032,Margin of Error,+/-270,+/-291,+/-348,+/-311,+/-208,+/-214,+/-298,+/-265,+/-282,+/-342,+/-396,+/-379,+/-263,+/-234,+/-154,+/-155,0
ZCTA5 85033,Estimate,1563,1062,1417,1182,1354,1364,1121,756,959,1470,1100,832,478,147,105,49,14959
ZCTA5 85033,Margin of Error,+/-301,+/-224,+/-294,+/-244,+/-209,+/-250,+/-213,+/-160,+/-202,+/-271,+/-196,+/-162,+/-141,+/-73,+/-61,+/-42,0
ZCTA5 85034,Estimate,419,190,111,177,76,97,87,95,13,76,81,30,29,16,36,8,1541
ZCTA5 85034,Margin of Error,+/-105,+/-70,+/-55,+/-71,+/-45,+/-48,+/-47,+/-60,+/-13,+/-48,+/-46,+/-33,+/-21,+/-16,+/-29,+/-11,0
ZCTA5 85035,Estimate,1804,1088,1267,1374,1252,1324,1023,814,612,962,1037,985,339,100,47,9,14037
ZCTA5 85035,Margin of Error,+/-311,+/-245,+/-259,+/-233,+/-250,+/-254,+/-244,+/-215,+/-186,+/-198,+/-232,+/-238,+/-154,+/-83,+/-46,+/-14,0
ZCTA5 85037,Estimate,668,405,560,688,941,1114,979,961,673,1221,1918,1674,911,365,262,21,13361
ZCTA5 85037,Margin of Error,+/-177,+/-144,+/-144,+/-176,+/-198,+/-215,+/-256,+/-241,+/-152,+/-240,+/-269,+/-276,+/-199,+/-113,+/-113,+/-27,0
ZCTA5 85040,Estimate,1664,778,709,657,583,461,522,399,332,696,672,681,303,151,126,167,8901
ZCTA5 85040,Margin of Error,+/-214,+/-154,+/-175,+/-151,+/-168,+/-146,+/-171,+/-119,+/-128,+/-150,+/-141,+/-162,+/-94,+/-76,+/-68,+/-93,0
ZCTA5 85041,Estimate,1665,915,668,1220,1004,1030,1099,1129,525,1444,1507,1685,920,489,311,272,15883
ZCTA5 85041,Margin of Error,+/-303,+/-212,+/-182,+/-272,+/-235,+/-220,+/-318,+/-237,+/-152,+/-306,+/-307,+/-322,+/-213,+/-137,+/-123,+/-100,0
ZCTA5 85042,Estimate,1171,744,717,621,959,910,767,611,606,1364,1109,1313,889,629,344,339,13093
ZCTA5 85042,Margin of Error,+/-268,+/-207,+/-172,+/-193,+/-226,+/-198,+/-209,+/-136,+/-157,+/-277,+/-206,+/-223,+/-158,+/-162,+/-88,+/-127,0
ZCTA5 85043,Estimate,606,555,556,430,660,897,609,725,425,725,951,1048,417,94,104,60,8862
ZCTA5 85043,Margin of Error,+/-197,+/-169,+/-183,+/-131,+/-218,+/-285,+/-252,+/-212,+/-174,+/-222,+/-208,+/-300,+/-141,+/-66,+/-78,+/-54,0
ZCTA5 85044,Estimate,457,306,381,439,715,619,935,1134,789,1495,1891,2622,1797,1105,998,1036,16719
ZCTA5 85044,Margin of Error,+/-138,+/-111,+/-128,+/-131,+/-210,+/-139,+/-216,+/-237,+/-195,+/-224,+/-295,+/-300,+/-267,+/-206,+/-190,+/-185,0
ZCTA5 85045,Estimate,59,23,10,59,26,51,59,65,59,153,196,476,217,318,381,450,2602
