,total population
ZCTA5 85546,20027
ZCTA5 85546,(X)
ZCTA5 85550,4990
ZCTA5 85550,+/-431
ZCTA5 85550,4990
ZCTA5 85550,(X)
ZCTA5 85551,445
ZCTA5 85551,+/-217
ZCTA5 85551,445
ZCTA5 85551,(X)
ZCTA5 85552,6278
ZCTA5 85552,+/-347
ZCTA5 85552,6278
ZCTA5 85552,(X)
ZCTA5 85553,1550
ZCTA5 85553,+/-298
ZCTA5 85553,1550
ZCTA5 85553,(X)
ZCTA5 85554,426
ZCTA5 85554,+/-143
ZCTA5 85554,426
ZCTA5 85554,(X)
ZCTA5 85601,635
ZCTA5 85601,+/-182
ZCTA5 85601,635
ZCTA5 85601,(X)
ZCTA5 85602,8912
ZCTA5 85602,+/-698
ZCTA5 85602,8912
ZCTA5 85602,(X)
ZCTA5 85603,6946
ZCTA5 85603,+/-305
ZCTA5 85603,6946
ZCTA5 85603,(X)
ZCTA5 85605,463
ZCTA5 85605,+/-151
ZCTA5 85605,463
ZCTA5 85605,(X)
ZCTA5 85606,1328
ZCTA5 85606,+/-264
ZCTA5 85606,1328
ZCTA5 85606,(X)
ZCTA5 85607,17229
ZCTA5 85607,"+/-1,446"
ZCTA5 85607,17229
ZCTA5 85607,(X)
ZCTA5 85608,5119
ZCTA5 85608,"+/-1,016"
ZCTA5 85608,5119
ZCTA5 85608,(X)
ZCTA5 85609,384
ZCTA5 85609,+/-248
ZCTA5 85609,384
ZCTA5 85609,(X)
ZCTA5 85610,1063
ZCTA5 85610,+/-257
ZCTA5 85610,1063
ZCTA5 85610,(X)
ZCTA5 85611,1030
ZCTA5 85611,+/-255
ZCTA5 85611,1030
ZCTA5 85611,(X)
ZCTA5 85613,5743
ZCTA5 85613,+/-475
ZCTA5 85613,5743
ZCTA5 85613,(X)
ZCTA5 85614,22245
ZCTA5 85614,+/-830
ZCTA5 85614,22245
ZCTA5 85614,(X)
ZCTA5 85615,9481
ZCTA5 85615,+/-787
ZCTA5 85615,9481
ZCTA5 85615,(X)
ZCTA5 85616,5403
ZCTA5 85616,+/-476
ZCTA5 85616,5403
ZCTA5 85616,(X)
ZCTA5 85617,1354
ZCTA5 85617,+/-229
ZCTA5 85617,1354
ZCTA5 85617,(X)
ZCTA5 85618,1853
ZCTA5 85618,+/-276
ZCTA5 85618,1853
ZCTA5 85618,(X)
ZCTA5 85619,141
ZCTA5 85619,+/-183
ZCTA5 85619,141
ZCTA5 85619,(X)
ZCTA5 85620,884
ZCTA5 85620,+/-326
ZCTA5 85620,884
ZCTA5 85620,(X)
ZCTA5 85621,22971
ZCTA5 85621,+/-389
ZCTA5 85621,22971
ZCTA5 85621,(X)
ZCTA5 85622,6659
ZCTA5 85622,+/-442
ZCTA5 85622,6659
ZCTA5 85622,(X)
ZCTA5 85623,4843
ZCTA5 85623,+/-640
ZCTA5 85623,4843
ZCTA5 85623,(X)
ZCTA5 85624,1306
ZCTA5 85624,+/-196
ZCTA5 85624,1306
ZCTA5 85624,(X)
ZCTA5 85625,1602
ZCTA5 85625,+/-225
ZCTA5 85625,1602
ZCTA5 85625,(X)
ZCTA5 85626,867
ZCTA5 85626,+/-313
ZCTA5 85626,867
ZCTA5 85626,(X)
ZCTA5 85627,1010
ZCTA5 85627,+/-302
ZCTA5 85627,1010
ZCTA5 85627,(X)
ZCTA5 85629,24359
ZCTA5 85629,+/-946
ZCTA5 85629,24359
ZCTA5 85629,(X)
ZCTA5 85630,2650
ZCTA5 85630,+/-434
ZCTA5 85630,2650
ZCTA5 85630,(X)
ZCTA5 85631,3970
ZCTA5 85631,+/-578
ZCTA5 85631,3970
ZCTA5 85631,(X)
ZCTA5 85632,887
ZCTA5 85632,+/-132
ZCTA5 85632,887
ZCTA5 85632,(X)
ZCTA5 85633,55
ZCTA5 85633,+/-35
ZCTA5 85633,55
ZCTA5 85633,(X)
ZCTA5 85634,6332
ZCTA5 85634,+/-962
ZCTA5 85634,6332
ZCTA5 85634,(X)
ZCTA5 85635,35850
ZCTA5 85635,+/-744
ZCTA5 85635,35850
ZCTA5 85635,(X)
ZCTA5 85637,1286
ZCTA5 85637,+/-252
ZCTA5 85637,1286
ZCTA5 85637,(X)
ZCTA5 85638,2146
ZCTA5 85638,+/-250
ZCTA5 85638,2146
ZCTA5 85638,(X)
ZCTA5 85640,721
ZCTA5 85640,+/-307
ZCTA5 85640,721
ZCTA5 85640,(X)
ZCTA5 85641,23193
ZCTA5 85641,"+/-1,092"
ZCTA5 85641,23193
ZCTA5 85641,(X)
ZCTA5 85643,8934
ZCTA5 85643,+/-749
ZCTA5 85643,8934
ZCTA5 85643,(X)
ZCTA5 85645,1937
ZCTA5 85645,+/-391
ZCTA5 85645,1937
ZCTA5 85645,(X)
ZCTA5 85646,1476
ZCTA5 85646,+/-283
ZCTA5 85646,1476
ZCTA5 85646,(X)
ZCTA5 85648,18884
